text,speaker,episode,season,preface,scene,scene_id,action,action_id,character,count
"Yes, they’d come in.",Saburou,1,1,," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Urogi,44
"Then, everyone would get eaten up by the demons.",Tanjirou,1,1,," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Sabito,43
"That’s why the demon hunters protect
us by slaying them since way back when.
Lights out now. Go to sleep.",Saburou,1,1,," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Demons,42
"Old Man Saburo
is all alone after losing
his whole family,
so he must be lonely.
I’ll bring my brothers and sisters next time and say, “You don’t have to be scared. There are no demons. You’re
safe.”
But, come to think of it, my grandma used to say the same thing when she
was alive.",Tanjirou,1,1,Thoughts," In Saburou’s
house. Tanjirou is given a meal and finishes it.",1,,,Himejima,38
You be careful now.,Saburou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Muzan,37
"Okay!
Whenever happiness is destroyed, there’s
always…",Tanjirou,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Amane,37
The smell of blood!,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Teruko,30
"Ahhh!!!
Nezuko!",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Kiyoshi,30
"What happened? What’s going
on?! What happened
here?!",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Hanako,29
Mom…,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Mukago,28
"Mom… Hanako… Takeo… Shigeru…
Nezuko… Rokuta…!",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Urami,28
"Nezuko’s the only one who’s still warm! (Thoughts) If I can get her to a doctor, she might survive! (Thoughts) How did this happen?
Was it a bear? Was it a bear that wasn’t able to hibernate? (Thoughts) I can’t breathe!
The air’s so icy! My lungs hurt!
Keep moving
forward! Move your legs faster!
We still have a long way to go before we reach town. Hurry! (Thoughts) I won’t let you die!",Tanjirou,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Kibutsuji,28
"I’m gonna save you no matter what!
I swear your big brother
will save you no matter
what!",Tanjirou,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Sumi,27
Ah!,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Tomi,27
Uraaa!!,Nezuko,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Takeo,26
"Oh no!
Ahh!!",Tanjirou,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Chef,26
"I was saved
by the snow. I slipped
because of the snow to begin with.
Nezuko?",Tanjirou,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Samurai,25
"Nezuko, are you alright?
You don’t have to walk! I’ll carry you to town, okay?",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Shigeru,23
Nezuko!,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Yoriichi,21
Arhh!!,Nezuko,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Aizetsu,21
Wah!,Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Naho,20
"Sh-She’s… a demon!
I just remembered what Old Man Saburou told me.
(Thoughts) Nezuko’s a man-eating demon?
No! Nezuko’s been a human ever since she was born!
(Thoughts) However, she no longer has Nezuko’s scent. (Thoughts) But it wasn’t
Nezuko’s doing!
She was lying
as if she was protecting Rokuta, and there
was no blood on her mouth or hands.
And there was one more… There was one more scent!",Tanjirou,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Makomo,19
"Sh-She just grew in size!
And she’s getting
stronger and stronger!
While I was sleeping carelessly at Saburou’s house,
they were murdered brutally like that!
I know it must’ve hurt! You suffered,
didn’t you? (Thoughts) I’m so
sorry I couldn’t save you.
If
only I could help Nezuko at least… (Thoughts)
But she’s too strong for me to push her back!
Nezuko! Hang in there, Nezuko!
Don’t give in! You gotta hang in there!",Tanjirou,1,1,Thoughts," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Hisa,17
"Don’t turn into a
demon!
You gotta stay strong!
Hang in there!
Hang in there!",Tanjirou,1,1,," The next morning.
Tanjirou is leaving
for the mountain.",1,,,Chief,17
